We report the properties of upconversion photoluminescence (UCPL) on SrLaMgTaO6 crystal doped with trivalent erbium at concentrations of 1–20mol% that were synthesized by a solid state reaction method from powder based precursors.	trivalent erbium @DOPANT@ SrLaMgTaO6 @BASEMAT@ @DBR@
The crystal structure, electronic structure, and optical properties of SrLa(1-x)MgTaO6:Erx were discussed by using X-ray diffraction (XRD), field-emission scanning electron microscopy (FE-SEM), UV–vis spectrophotometer, DFT (density functional theory) calculations and photoluminescence (PL) spectra.	Erx @DOPANT@ SrLa(1-x)MgTaO6 @BASEMAT@ @DBR@
It was attributed to the concentration quenching which was more active than ETU process at higher concentration of Er3+ in SrLaMgTaO6.	Er3+ @DOPANT@ SrLaMgTaO6 @BASEMAT@ @DBR@
Tribological properties of a hot-pressed Ba-doped S-phase sialon ceramic.	Ba @DOPANT@ S-phase sialon ceramic @BASEMAT@ @DBR@
We report the preparation of hybrid paperlike films consisting of alternating layers of graphene (or graphene oxide) and different types of multiwalled carbon nanotubes (N-doped MWNTs, B-doped MWNTs, and pristine MWNTs).	N @DOPANT@ MWNTs @BASEMAT@ @DBR@ B @DOPANT@ MWNTs @BASEMAT@ @DBR@
Cluster ferromagnetism in Mn-doped InSb.	Mn @DOPANT@ InSb @BASEMAT@ @DBR@
Magnetically separable sulfur-doped SnFe2O4/graphene nanohybrids for effective photocatalytic purification of wastewater under visible light.	sulfur @DOPANT@ SnFe2O4 @BASEMAT@ @DBR@
In this report, magnetically recoverable sulfur-doped SnFe2O4/graphene (S-SFO/GR) nanohybrids have been successfully developed via a facile solvothermal method.	sulfur @DOPANT@ SnFe2O4 @BASEMAT@ @DBR@
The deuterium loaded samples showed more rapid phase changes and more formation of voids than the hydrogen doped samples.	hydrogen @DOPANT@ samples @BASEMAT@ @DBR@
Trap exploration in amorphous boron-doped ZnO films.	boron @DOPANT@ ZnO @BASEMAT@ @DBR@
This paper addresses the trap exploration in amorphous boron-doped ZnO (ZnO:B) films using an asymmetric structure of metal-oxide-metal.	boron @DOPANT@ ZnO @BASEMAT@ @DBR@ B @DOPANT@ ZnO @BASEMAT@ @DBR@
In this work, the structure of Ni/ZnO:B/TaN is adopted and the ZnO:B film is deposited by RF magnetron sputtering.	B @DOPANT@ ZnO @BASEMAT@ @DBR@
The as-deposited ZnO:B film is amorphous and becomes polycrystalline when annealing temperature is above 500 ï¿½C.	B @DOPANT@ ZnO @BASEMAT@ @DBR@
According to the analysis of conduction mechanism in the as-deposited ZnO:B devices, Ohmic conduction is obtained at positive bias voltage because of the Ohmic contact at the TaN/ZnO:B interface.	B @DOPANT@ ZnO @BASEMAT@ @DBR@
Meanwhile, hopping conduction is obtained at negative bias voltage due to the defective traps in ZnO:B in which the trap energy level is lower than the energy barrier at the Ni/ZnO:B interface.	B @DOPANT@ ZnO @BASEMAT@ @DBR@
This suggests that no single-level traps, but only multiple-level traps, exist in the amorphous ZnO:B films.	B @DOPANT@ ZnO @BASEMAT@ @DBR@
Structural, Dielectric and Impedance Spectroscopic Studies on Fe Doped BaTiO3.	Fe @DOPANT@ BaTiO3 @BASEMAT@ @DBR@
Lanthanide dopant stabilized Ti3+ state and supersensitive Ti3+ -based multiparametric luminescent thermometer in SrTiO3:Ln3+ (Ln3+ = Lu3+, La3+, Tb3+) nanocrystals.	Lanthanide @DOPANT@ SrTiO3 @BASEMAT@ @DBR@ Ln3+ (Ln3+ = Lu3+, La3+, Tb3+) @DOPANT@ SrTiO3 @BASEMAT@ @DBR@
Herein, we show that the substitution of Sr2+ by trivalent lanthanide ions (Lu3+, La3+, Tb3+) in SrTiO3 nanocrystals stabilizes and enhances Ti3+ near-infrared emission (around 800 nm).	trivalent lanthanide ions (Lu3+, La3+, Tb3+) @DOPANT@ SrTiO3 @BASEMAT@ @DBR@
This emission occurs from the 6-fold coordinated Ti3+ luminescent centers that appear in the vacancy–Ti3+–O form after lanthanide doping into the Sr2+ site.	lanthanide @DOPANT@ Sr2+ site @BASEMAT@ @DBR@
We demonstrated the unprecedented temperature sensitivity of the lifetime-based luminescent thermometer (8.83% K−1) with SrTiO3:Tb3+, along with exceptional repeatability in measurements.	Tb3+ @DOPANT@ SrTiO3 @BASEMAT@ @DBR@
Lanthanum (La) doped Ceria (CeO2) electrolyte has attracted considerable interest, as a candidate material for solid oxide fuel cells (SOFCs).	Lanthanum @DOPANT@ Ceria @BASEMAT@ @DBR@ La @DOPANT@ CeO2 @BASEMAT@ @DBR@
The ionic conductivity of La doped CeO2 system (La2Ce2O7) nano-particles synthesized by the co-precipitation method has been investigated.	La @DOPANT@ CeO2 @BASEMAT@ @DBR@
X-ray studies and luminescence of ZnS-phosphor doped with silver and cobalt.	silver @DOPANT@ ZnS-phosphor @BASEMAT@ @DBR@ cobalt @DOPANT@ ZnS-phosphor @BASEMAT@ @DBR@
Measurements were carried out on a series of (ZnS:Ag:Co) with different concentrations of cobalt.	Ag @DOPANT@ ZnS @BASEMAT@ @DBR@ Co @DOPANT@ ZnS @BASEMAT@ @DBR@ cobalt @DOPANT@ ZnS @BASEMAT@ @DBR@
The approximate average internuclear spacing between activator atoms in hexagonal (ZnS:Ag:Co) was calculated.	Ag @DOPANT@ ZnS @BASEMAT@ @DBR@ Co @DOPANT@ ZnS @BASEMAT@ @DBR@
The 0.9A12O3 0.1TiO2 ceramics doped with 0.4 mol% of MnO has dielectric constant of 12.4, Q × f of 274,000 GHz at 76 GHz, and temperature coefficient of resonant frequency of +0.4 ppm/°C.	MnO @DOPANT@ 0.9A12O3 0.1TiO2 @BASEMAT@ @DBR@
On the other side, we focused our attention on the properties of SiO2 and SiOC host matrices doped with Eu ions.	Eu @DOPANT@ SiO2 @BASEMAT@ @DBR@ Eu @DOPANT@ SiOC host matrices @BASEMAT@ @DBR@
Influence of RF power on structural, morphology, electrical, composition and optical properties of Al-doped ZnO films deposited by RF magnetron sputtering.	Al @DOPANT@ ZnO @BASEMAT@ @DBR@
In this study, influence of RF power on the structural, morphology, electrical, composition and optical properties of Al-doped ZnO (ZnO:Al) films deposited by RF magnetron sputtering have been investigated.	Al @DOPANT@ ZnO @BASEMAT@ @DBR@
The FE-SEM analysis showed that grain size and surface roughness of ZnO:Al films increase in with increase in RF power.	Al @DOPANT@ ZnO @BASEMAT@ @DBR@
Based on the experimental results, the RF power of 200 W appears to be an optimum sputtering power for the growth of ZnO:Al films.	Al @DOPANT@ ZnO @BASEMAT@ @DBR@
At this optimum sputtering power ZnO:Al films having minimum resistivity (8.61 × 10−4 Ω-cm), highly optically transparent (~87 %) were obtained at low substrate temperature (60 °C) at moderately high deposition rate (22.5 nm/min).	Al @DOPANT@ ZnO @BASEMAT@ @DBR@
Systematic investigation of geometric structures and electronic properties of lithium doped magnesium clusters.	lithium @DOPANT@ magnesium @BASEMAT@ @DBR@
Geometric structures and electronic properties of Lithium doped magnesium clusters, LiMgn (n = 2–11), were investigated by utilizing Crystal structure Analysis by Particle Swarm Optimization (CALYPSO) structural searching method with density functional theory (DFT) calculations.	Lithium @DOPANT@ magnesium @BASEMAT@ @DBR@
Structure, morphology and electrochemical performance of Zn-doped [Ni4Al(OH)10]OH.	Zn @DOPANT@ [Ni4Al(OH)10]OH @BASEMAT@ @DBR@
A layered double hydroxide [Ni4Al(OH)10]OH was doped with different amounts of Zn2+ by coprecipitation and subsequent hydrothermal treatment.	Zn2+ @DOPANT@ [Ni4Al(OH)10]OH @BASEMAT@ @DBR@
Effect of organic dopants on ZTS single crystals.	organic @DOPANT@ ZTS @BASEMAT@ @DBR@
The influence of organic dopants on tristhioureazinc(II)sulphate (ZTS) single crystals from aqueous solutions at 30°C is investigated.	organic @DOPANT@ tristhioureazinc(II)sulphate @BASEMAT@ @DBR@
The diffraction curve (DC) of a typical EDTA-doped as-grown ZTS crystal was observed to contain one additional peak very close to the main peak suggesting the possibility of an epitaxial layer on the surface of the crystal.	EDTA @DOPANT@ ZTS @BASEMAT@ @DBR@
Epitaxial growth of Sb-doped Ge layers on ferromagnetic Fe3Si for vertical semiconductor spintronic devices.	Sb @DOPANT@ Ge @BASEMAT@ @DBR@
Two-dimensional epitaxial growth of the Sb-doped Ge layers can be achieved on the Si-terminated Fe3Si surface at 175 C.	Sb @DOPANT@ Ge @BASEMAT@ @DBR@
Electrical properties of the Au-Ti/Sb-doped Ge/Fe3Si/p-Ge/Al vertical devices indicate that the Sb-doped Ge layer is an n-type semiconductor.	Sb @DOPANT@ Ge @BASEMAT@ @DBR@
Aerosol-Assisted Self-Assembly of Reticulated N-Doped Carbonaceous Submicron Spheres for Effective Removal of Hexavalent Chromium.	N @DOPANT@ Carbonaceous Submicron Spheres @BASEMAT@ @DBR@
This Research Article described a facile one-step method to prepare reticulated N-doped carbonaceous submicron spheres.	N @DOPANT@ carbonaceous submicron spheres @BASEMAT@ @DBR@
Compared to bare carbonaceous materials produced from glucose, reticulated N-doped carbonaceous spheres exhibit higher efficiency in the removal of Cr(VI), where the doping of element nitrogen led to electrostatic attraction between protonated nitrogen and chromium ions, and reticulated structure created relatively higher surface area and pore volume, facilitating materials to contact with Cr(VI) ions.	N @DOPANT@ carbonaceous spheres @BASEMAT@ @DBR@
XPS characterization proved these novel N-doped carbonaceous materials could effectively transform Cr(VI) to less toxic Cr(III) because of the surface reducing groups.	N @DOPANT@ carbonaceous materials @BASEMAT@ @DBR@
The g values are g║ = 2.26 ± 0.01 and g┴ = 4.77 ± 0.01 from EPR measurements of cobalt doped into [Zn(CH55NO)6](ClO4)2, while the parameters g║= 2.49 ± 0.05, g┴ = 4.70 ± 0.05 were obtained from susceptibility studies on the pure cobalt compound.	cobalt @DOPANT@ [Zn(CH55NO)6](ClO4)2 @BASEMAT@ @DBR@
Characteristics and surface energy of silicon-doped diamond-like carbon films fabricated by plasma immersion ion implantation and deposition .	silicon @DOPANT@ diamond-like carbon @BASEMAT@ @DBR@
